value,total_count
forest leaf litter,5
fecal material.20,5
mouth [UBERON:0000165]|dentition [UBERON:0003672],5
Cage: 280253,5
Cage: 280252,5
Cage: 280251,5
feed storage space,5
PCL,5
Biogas fermenter,5
Biogas reactor digesting complex organic waste,5
Biogenic methane,5
[ENVO:00000892],5
ENVO:06105013|ENVO:00000032|ENVO:00000463,5
84,5
forest leaf soil,5
distilled water [ENVO:00003065],5
fed with MFO,5
Microbial Community,5
fed with MF,5
Mangrove Sediment,5
Guano,5
Human vaginal Microbiome from subject 1111,5
biological control,5
chick_pad_paper,5
gut wall,5
Human vaginal Microbiome from subject 1109,5
Human vaginal Microbiome from subject 1108,5
Human vaginal Microbiome from subject 1102,5
fed with HFO,5
Human vaginal Microbiome from subject 1101,5
coastal inlet,5
fed with HF,5
mouse ileum tissue,5
ENVO:01000204|ENVO:00000015,5
ENVO:03600006,5
ENVO:01000199,5
ENVO_01000182,5
Mountain region of Adjara,5
Human vaginal Microbiome from subject 1088,5
ENVO_01000179,5
Human vaginal Microbiome from subject 1086,5
diseased plant,5
mountainous area,5
Mountain_Forest,5
local farm,5
ENVO:01001263,5
Human vaginal Microbiome from subject 1085,5
mountain5,5
Human vaginal Microbiome from subject 1083,5
Human vaginal Microbiome from subject 1082,5
Human vaginal Microbiome from subject 1081,5
Gyeongsangnam-do,5
Human vaginal Microbiome from subject 1080,5
Human vaginal Microbiome from subject 1078,5
fecal material.8,5
mountain4,5
mountain3,5
Human vaginal Microbiome from subject 1074,5
mountain2,5
mountain1,5
Pelotons of Pterostylis orchid,5
Fresh manure,5
mosses,5
Mosquito Lagoon [63403],5
Moonmilk,5
Human vaginal Microbiome from subject 1073,5
Human vaginal Microbiome from subject 1072,5
Human vaginal Microbiome from subject 1071,5
"0,5 g of bulk soil",5
85,5
Montes Buoy 1,5
Human vaginal Microbiome from subject 1070,5
Human vaginal Microbiome from subject 1069,5
Microbial Fuel Cell,5
GYY1,5
Montane grassland biome,5
GYY11,5
Biological sample (Abscess),5
Human vaginal Microbiome from subject 1068,5
Coastal marine,5
LKK9,5
LKK7,5
LKK5,5
LKK3,5
Human vaginal Microbiome from subject 1065,5
biomass from biofilm carrier,5
Moist soil,5
GYY3,5
Human vaginal Microbiome from subject 1064,5
fecal material.9,5
moisted filter paper,5
Modified M9 medium,5
GYY5,5
High-fat High-protein diet,5
GYY7,5
mock wastewater,5
GYY9,5
biome tip,5
86,5
87,5
88,5
fossil ice,5
biomineral,5
ENVO:00000259,5
ENVO:00000257,5
Microbial Mats,5
89,5
biopark,5
13.0,5
Human vaginal Microbiome from subject 1062,5
90,5
900 m above sea level,5
bird gastrointestinal tract,5
LKK11,5
C57BL/6NTac mouse gut,5
LKK1,5
Human vaginal Microbiome from subject 1061,5
91,5
Blaberidae foregut microbiome,5
Human vaginal Microbiome from subject 1059,5
Blaberidae hindgut microbiome,5
Blaberidae midgut microbiome,5
blank1,5
blank2,5
ENVO:00000256,5
microbiome associated with the gill tissue of Bathymodiolus japonicus,5
Human vaginal Microbiome from subject 1054,5
Human vaginal Microbiome from subject 1052,5
Human vaginal Microbiome from subject 1051,5
Human vaginal Microbiome from subject 1050,5
Human vaginal Microbiome from subject 1048,5
mixture in CSTR reactor,5
Blood biome,5
blood infection,5
10.0,5
mixed taiga and deciduous woodland,5
high biochar,5
blood samples,5
mixed soil as control,5
mixed sewage sludge and cattle dung,5
mixed saliva cultured into biofilm,5
blue hole sediment,5
BNR system wo recycle,5
BNR system w recycle,5
Human vaginal Microbiome from subject 1047,5
Mixed liquor,5
bog sediment,5
Bog soil,5
Experimental plot,5
bokashi charcoal replicate 1,5
bokashi charcoal replicate 2,5
92,5
bokashi charcoal replicate 3,5
bokashi charcoal replicate 4,5
bokashi IMO replicate 1,5
bokashi IMO replicate 2,5
bokashi IMO replicate 3,5
bokashi IMO replicate 4,5
ENVO:01001391,5
bokashi raw replicate 1,5
bokashi raw replicate 2,5
bokashi raw replicate 3,5
bokashi raw replicate 4,5
Mixed food waste biogas digester,5
experimental subsurface sediment microbiome,5
Mixed diet,5
93,5
bokashi yeast replicate 1,5
Human vaginal Microbiome from subject 1046,5
bokashi yeast replicate 2,5
bokashi yeast replicate 3,5
Human vaginal Microbiome from subject 1045,5
bokashi yeast replicate 4,5
Boom Clay borehole water + Old cement water,5
Mix A. cantonensis / A. mackerrasae replicate 2,5
feces.1,5
Human vaginal Microbiome from subject 1041,5
Human vaginal Microbiome from subject 1040,5
Human vaginal Microbiome from subject 1039,5
Mix A. cantonensis / A. mackerrasae replicate 1,5
ENVO:00000254,5
feces.10,5
borehole [ENVO_00002226],5
missing|||sewage system,5
ENVO:00000253,5
bore hole water [ENVO_00003097],5
bottom of blue hole sediment,5
Human vaginal Microbiome from subject 1033,5
Peridomestic,5
bottom soil,5
missing|||human skin,5
Human vaginal Microbiome from subject 1029,5
Human vaginal Microbiome from subject 1028,5
boundary forests,5
C3H/HeNTac mouse gut,5
bovine|||not applicable,5
feces.11,5
ENVO:01001416,5
bovine ruminal liquid,5
Human vaginal Microbiome from subject 1027,5
forestomach,5
feces.12,5
hepatopancreas of conus species,5
missing|||fecal,5
brackish water column,5
deep-sea plain,5
microcosm control,5
microcosm earthworm,5
pharmacy,5
94,5
ENVO:00000252,5
95,5
feces.9,5
Heliconia sp. tropical plant,5
feces.13,5
microcosm glyphosate,5
feces.8,5
HEG2,5
ENVO:00002115,5
96,5
feces.14,5
microcosm monensine,5
microcosm rhizo,5
heavy metal resistant bacteria,5
feces.7,5
ENVO:00002114,5
burned coniferous forest,5
HeatKilled,5
ENVO:00002112,5
ENVO_01000049,5
PDO14 cheese,5
feces.6,5
ENVO:00002111,5
97,5
missing2,5
periapical abscess,5
feces.5,5
Healthy individuals,5
ENVO:01001815|ENVO:01001059,5
ENVO_01001803,5
feces.15,5
Forest orchard,5
deep-water coral reef,5
pharmaceutical capsules,5
Intertidal fjord,5
intertidal biome,5
Intertidal 1,5
delhi,5
demersal salt water habitat,5
feces.4,5
Dental Plaque,5
missing1,5
brackish water [ENVO:00002019]|||DNA_T0,5
brackish water [ENVO:00002019]|||DNA_T1,5
ENVO:00000251,5
brackish water [ENVO:00002019]|||DNA_T2,5
98,5
brackish water [ENVO:00002019]|||DNA_T3,5
Bulk soil around plant roots,5
miss,5
Internal plant root,5
Bran,5
insect-associated,5
branch Pinus strobus,5
Brassica oleracea,5
internal carotid artery|||not applicable,5
internal carotid artery,5
feces.16,5
Human vaginal Microbiome from subject 1025,5
headwater,5
00000114,5
marine sediment [ENVO:00002113],5
99 hours,5
intermediate water,5
ENVO:01001705,5
feces.32,5
extraction,5
feces.17,5
ENVO:00000250,5
ENVO:00000248,5
closed animal house [ ENVO:01000921] | environment associated with an animal part or small animal [ENVO:01001055],5
9% Cr steel,5
Breast (NAT),5
"Chicken, broiler",5
Human vaginal Microbiome from subject 1023,5
feces.18,5
Haycite,5
mine soil,5
Human vaginal Microbiome from subject 1022,5
ENVO:00000246,5
feces.19,5
Human vaginal Microbiome from subject 1021,5
Human vaginal Microbiome from subject 1020,5
Human vaginal Microbiome from subject 1019,5
Human vaginal Microbiome from subject 1018,5
hamster gut microbiome,5
fresh animal manure,5
feces.2,5
Live soil in greenhouse,5
feces.31,5
chernevaya soil—dark gray soil,5
Human vaginal Microbiome from subject 1017,5
feces.20,5
brine pool (ENVO:00000369) seep (ENVO:01000262),5
brisket disease,5
feces.30,5
greenhouse soil[ENVO:00005780]|soil [ENVO:00001998]|glacial process [ENVO:01001655]|forest soil [ENVO:00002261]|surface soil[ENVO:02000059],5
feces.21,5
brood,5
Marine biofilm,5
feces.3,5
feces.29,5
bryndza,5
Human vaginal Microbiome from subject 1014,5
Human vaginal Microbiome from subject 1013,5
Human vaginal Microbiome from subject 1009,5
fecal material.17,5
Human vaginal Microbiome from subject 1004,5
Human vaginal Microbiome from subject 1002,5
Mince,5
Dichloromethane-fermenting enrichment culture,5
feces.28,5
milliq water,5
feces.27,5
Buffer and Kit control,5
0.1 mg/ml lactose DM,5
feces.26,5
Hartley guineapig gut,5
feces.25,5
Human vaginal Microbiome from subject 1001,5
Milk Kefir Grain,5
extensivly managed beech forest,5
feces.22,5
liver and spleen pool,5
feces.24,5
Hardwood Forest,5
Ottawa Farm,5
Peptone water,5
human urinary bladder,5
Bulk finclips,5
Developed No Decay,5
01000176,5
grain,5
feces.23,5
Forests,5
2.25% Cr steel,5
Cloaca UBERON:0000162,5
Fragaria ×ananassa,5
deserts sand,5
mangrove covering field,5
greenhouse soil[ENVO:00005780]|mine tailings [ENVO:00000003]|soil [ENVO:00001998]|glacial process [ENVO:01001655]|forest soil [ENVO:00002261]|surface soil[ENVO:02000059],5
fecal material.21,5
FOODON_03542713:27130 - probiotic milk-like drinks (efsa foodex2),5
mammary gland enviroment,5
"FOODON_03542132:21320 - corned beef, cooked (efsa foodex2)",5
"litter horizon, organic horizon",5
FOODON_03541508:15080 - nectarines (efsa foodex2),5
Greenhouse microclimate room,5
ENVO:00000195 (Sink),5
ENVO:00000191,5
foregut contents,5
floodplain lake,5
fecal material.22,5
liquid_stool,5
fecal material.16,5
fecal material.23,5
Malus domestica,5
malted oats,5
fecal material [ENVO:00002013],5
abdomen after exposure,5
gut10,5
Gut-10,5
2.5 mg/ml lactose DM pilot,5
coal bed produced water,5
FOODON:03413418,5
Gut-11,5
fecal material.18,5
floating pumice,5
gut12,5
liquid digested material,5
Gut-12,5
liquid digestate,5
Liquid culture,5
acid mine water,5
Organic citrus grove,5
Glass supernatant,5
oral|||not applicable,5
plankton diversity,5
activited sludge,5
ENVO:01001239,5
Acuaculture,5
ENVO:01001240,5
administrative region,5
Coastal-water,5
coastal water biome,5
"oral cavity, no habits",5
aerobically stored beef,5
aerobic biofilter,5
oral benign tumors,5
Maple/beech/birch Forest,5
Opium poppy leaves,5
aerosol [ENVO_00010505],5
African Dust Event,5
marine ultramafic hydrothermal vent,5
fecal material.24,5
CNR,5
Fjord water,5
marine ultramafic hydrothermal vent biome ENVO:01000053,5
agaricus bisporus manufacturing base,5
Agave must,5
male fish,5
Agave rhizosphere,5
agricultural - dairy,5
"FOODON_03316243:spread, low fat",5
fecal material.25,5
Fjord Saguenay,5
earthworm cast from midden,5
forefield replicate 1,5
earthworm burrow soil,5
Agricultural field10,5
Maize Rhizosphere soil without AM fungal inoculation sampling at D90,5
Maize Rhizosphere soil without AM fungal inoculation sampling at D60,5
fecal material.26,5
Clear Lake Watershed station N28,5
fecal material.19,5
Maize Rhizosphere soil without AM fungal inoculation sampling at D30,5
onion production field,5
CHEBI:33893,5
Onion plant,5
farm [ENVO_00000078]|agricultural field [ENVO:00000114],5
ENVO:01000793 | ENVO:01000828,5
Chascomús Lake,5
charcoal [ENVO:01000560],5
Agricultural field11,5
Agricultural field12,5
piece of rock,5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 10 mg.ml-1 Phe (L-Fenilalanina)",5
Agricultural field8,5
ENVO:00000368,5
Maize Rhizosphere soil with AM fungal inoculation sampling at D90,5
Agricultural field9,5
Forest 1,5
Ileum content,5
Fish spleen|||not applicable,5
Agricultural plantation,5
ileum digesta,5
Maize Rhizosphere soil with AM fungal inoculation sampling at D60,5
ENVO:00000366,5
ENVO:00000365,5
agricultural_soil,5
fish product,5
agricultural waste material [ENVO:01000371],5
fecal material.14,5
old-growth nature reserve,5
ENVO:00000364,5
Ileum mucosa,5
Ileum Mucosa,5
Maize Rhizosphere soil with AM fungal inoculation sampling at D30,5
fish processing effluent discharge,5
estuarine biome [ENVO:01000027],5
maize rhizosphere soil,5
estuarine biome [ENVO:01000026],5
Maize monoculture,5
Maroochydoore River,5
ENVO:00002039,5
ENVO:00000363,5
estuarine biome [ENVO:01000025],5
estuarine biome [ENVO:01000024],5
FOODON_03311067:orange juice (freshly squeezed),5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 10 mg.ml-1 Ser (L-Serina)",5
estuarine biome [ENVO:01000023],5
marine biome [ENVO:00000447]|marine benthic biome[ENVO:01000024]|marine subtidal rocky reef biome[ENVO:01000050],5
ENVO:00002037,5
"FOODON_03309928:pepper (whole, raw)",5
estuarine biome [ENVO:01000022],5
estuarine biome [ENVO:01000021],5
oil-sands tailings water,5
Oil production pipeline,5
Gill UBERON:0002535,5
ENVO:00000362,5
Co depletion,5
Oil field production facility,5
fecal material.15,5
Lettuce,5
clay sediment in FWS constucted wetland,5
Falaij North,5
fish from pelagic zone,5
AH1,5
"offshore, oligotrophic",5
Offshore drone sample,5
offshore biofilm,5
clay sediment [ENVO:01000120],5
AH3,5
AH5,5
AH7,5
ENVO:00002035,5
AH9,5
air and plant,5
cold temperatura habitat,5
geyser runoff,5
left eyelid,5
material extraction process,5
phylloshpere biome,5
leaves and branches,5
human metatranscritpome,5
Geothermal Spring,5
ocean trench ENVO:00000275,5
"A. lampa covered soil, coastal dune site",5
"A. lampa covered soil, Patagonian steppe site",5
ocean surface,5
Albizia julibrissin,5
ocean sediments,5
Geothermal environment,5
leaf_soil,5
Alkaline anaerobic digester sludge,5
Alkaline habitat,5
ENVO:00002034|ENVO:01001121,5
Alkaline hot spring,5
"mature, closed-canopy managed forests",5
alluvial paddy field soil[ENVO_00005759],5
Alnus glutinosa | riparian tree,5
Leaf (PO:0025034),5
colon ascendens,5
colon pig,5
Gelatine7,5
PCR reagents + positive DNA,5
finfish farming process [ENVO:01001250],5
ENVO:01000538,5
plan growth room,5
Leach Bed Feed Tank,5
dust|||painted plaster,5
LDL9,5
LDL7,5
LDL5,5
LDL3,5
33C,5
LDL11,5
LDL1,5
FOODON_03307444:yogurt (lowfat),5
ENVO:00002033,5
Common Effluent Treatment Plant,5
LB growth medium,5
filling room | during operation,5
compost biofilter-central section,5
"Composting of avian bed, faeces and residues",5
ENVO:00000360,5
dust|||mesh,5
Lava tube,5
ENVO:00000359,5
lava cave,5
human fecal matter,5
ENVO_00003874,5
Conductive substrate supernatant,5
coniferous forest biome[ENVO:01000196]|subpolar coniferous forest biome[ENVO:01000250],5
ENVO:00000358,5
fecal material.27,5
"FOODON_03301831:pineapple (whole, raw); FOODON_00002655:food (peeled)",5
grass soil,5
fecal material.28,5
Mariana Trench,5
coniferous woodland layers,5
container of an intermittent lake,5
Contamination,5
large intestine contents,5
large freshwater lake biome [ENVO:00000891]freshwater river [ENVO:01000297],5
Continental island [ENVO:00000221],5
"FOODON_03301719:peach (whole, raw)",5
ENVO_00000073,5
Landfill leachate treatment plant,5
landfill biom,5
control21days,5
"lake water, P+N amendment",5
Lake Vostok 5G ice core,5
Permeate,5
lakeshore,5
control DNA,5
Dusheti District Georgia,5
Control electrode,5
ENVO:00000357,5
Central Pilbara,5
Ganjang,5
Controlled temperature,5
lakes biome,5
ENVO:00000356,5
"FOODON_03301702:grapefruit (whole, raw); FOODON_00002655:food (peeled)",5
Control|p47phox knockout,5
ENVO:00000355,5
human clinical sample,5
Human cerebrospinal fluid,5
Ocean bay,5
ENVO:01000467,5
"a mixture of rockwool, urethane, zeolite, dried chicken feces, and rice husk",5
cementery,5
incubated mineral grain biome,5
ENVO:00010483],5
obsidian,5
field plot 9N,5
Lake Ikeda,5
ENVO:00000353,5
20 hours,5
ammonia deodorization biofilter,5
oasis,5
among bryophytes,5
Incubated under dark,5
ENVO:00000352,5
Marine coastal environment,5
Control w/sides_Rep6,5
anaerobic activated sludge,5
field plot 8N,5
cecum pig,5
NVO:00000303,5
field plot 7N,5
Cecum mucosa,5
ENVO:00000351,5
Ntac:SD rat gut,5
Incubated with Tween 20 under dark,5
human blood virome of mother 5,5
human blood virome of mother 3,5
human blood virome of mother 1,5
field plot 5N,5
MEC-AD anode,5
MEC-AD cathode,5
ENVO:00000053,5
fecal material.29,5
Marine coastal water,5
M3-2,5
Forest5,5
M3-1,5
M2-2,5
field plot 4N,5
ENVO:00000350,5
ENVO:00000349,5
ENVO:00000348,5
fecal material.3,5
NPKM3-3-2,5
NPKM3-3-1,5
NPKM3-2-2,5
NPKM3-2-1,5
M2-1,5
NPKM3-1-2,5
NPKM3-1-1,5
140 hours,5
NPKM2-3-2,5
M1-2,5
NPKM2-3-1,5
NPKM2-2-2,5
M1-1,5
ENVO:00000346,5
coagulant,5
ENVO:00000344,5
NPKM2-2-1,5
NPKM2-1-2,5
NPKM2-1-1,5
Lysogeny broth media,5
NPKM1-3-2,5
NPKM1-3-1,5
NPKM1-2-2,5
NPKM1-2-1,5
NPKM1-1-2,5
NPKM1-1-1,5
NPK3-2,5
NPK3-1,5
NPK2-2,5
NPK2-1,5
NPK1-2,5
NPK1-1,5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 1e+7 CFU.plant-1 of A. argentinense Az44 + 10 mg.ml-1 Trp (L-Triptófano)",5
field plot 2N,5
fecal material.30,5
fecal material.31,5
CK4,5
coral island,5
FOODON_03301283:raisin (whole),5
coralloid root from Dioon edule,5
Coralloid root symbiont,5
field plot 24N,5
anaerobic bioreactor_CSTR,5
field plot 22N,5
field plot 21N,5
Coral Reefs,5
28 hours,5
anaerobic community in V(V) and NO3-,5
Dry sediment,5
Lysimeters,5
Anaerobic digested sludge,5
lactate containing media,5
Anaerobic digester/biogas reactor,5
Corm,5
Indium:tin oxide,5
dry mineral soil,5
"FOODON_00003673:watermelon (whole, raw); FOODON_00002655:food (peeled)",5
lab-scale sequencing batch reactor,5
lab-scale partial nitritation/anammox reactor,5
Corn field,5
FOODON_00002815:lowfat cow milk (1% fat),5
LY9,5
labRearedSterile,5
"Cattle solid and liquid manure, Pig liquid manure, waste from agro-food industry",5
LY7,5
LY5,5
Costal dune [ENVO:00000416] | Needleleaf forest [ENVO:01000433],5
LY3,5
ENVO:00000343,5
Laboratory|Shake flask,5
Cottonseed,5
field plot 18N,5
dry forest,5
FOODON:00001287,5
"anaerobic digesters, rumen of cattle, and rice paddy field",5
cow 228,5
anaerobic filter,5
field plot 17N,5
field plot 15N,5
0-5 meter depth,5
field plot 14N,5
anaerobic seewater,5
Laboratory enrichment culture,5
field plot 13N,5
cast iron FC,5
ENVO:00000342,5
anaerobic sludge digester,5
field plot 12N,5
Fungus,5
field plot 11N,5
animal aquaculture process [ENVO:01001254],5
animal-associated-environment,5
field mesocosm,5
north sea,5
northern tropic,5
"Laboratory colony from Sao Paulo state, Brazil",5
Animal biome-7,5
Animal biome-8,5
Animal biome-9,5
ENVO:01000443,5
fecal material.32,5
LY11,5
LY1,5
LVG Golden Syrian hamster gut,5
fungal fruitbody,5
environmental system determined by an organism [ENVO:01001000] | anthropogenic geographic feature [ENVO:00000002],5
Luria-Bertani Broth,5
animal husbandry [ENVO_01001248],5
annual grassland,5
Lupinus perennis monoculture,5
1% Cr steel,5
Laboratory bioelectrochemical dechlorinating reactor,5
environmental sample|||environmental sample,5
anode biofilm,5
lung pool,5
Id-L,5
ice shelf bottom,5
Human abscess,5
ice sediments,5
EDTA Peripheral blood,5
normal lateral border tongue,5
Anoxic biological wastewater,5
laboraotry medium,5
anoxic sediment,5
Indole,5
Indole_Ahr,5
ice and seawater,5
Forest biome [ENVO:01000174]| bush area [ENVO:01001293]|woodland area [ENVO:00000109]|area of evergreen forest [ENVO:01000843],5
ENVO:00000340,5
Noosa River,5
Fumarole,5
[ENVO:00003081],5
Antarctic coastal ecosystem,5
Non-rhizosphere soil,5
medium salinity saltern,5
Peatbog,5
cow shed [ENVO:00003041],5
Lab_bioreactor,5
"Fruits, Yogurt",5
Epilimnion,5
fruit pulps,5
crop4,5
IAFHairless guineapig gut,5
ENVO:00000563|ENVO:01000613|ENVO:03000096|PATO:0000146,5
ENVO:01001035,5
fecal material.4,5
ENVO:00000480,5
crop5,5
Anthrosol [ENVO:00002230],5
Antropic Lithosol,5
crop6,5
ant tissues,5
Nodule-Non-Agricole-Soil,5
NOD/MrkBomTac-Prkdcscid mouse gut,5
No cover | No fertilization,5
apatite,5
fecal material.2,5
ENVO_00002018,5
apatite+biotite,5
lumen content,5
Melon,5
ENVO:01001020|ENVO:01000315,5
LRV_3.5_15 Gut Control Antibiotic 6 days,5
epibiome,5
food (fermented) [FOODON:00001258],5
Fruit (PO:0009001),5
Huangjialiang,5
ENVO:00000514,5
Crop Field,5
dried out lake basin,5
crop fields,5
Kombucha tea,5
NMM supplemented with indole and amino acids,5
ENVO:00005802 = bulk soil,5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 10 mg.ml-1 Trp (L-Triptófano)",5
nitrifying sludge,5
aqautic,5
Kitchen Counter,5
Manure (Cow dung) compost,5
NH4+Elevated7days,5
ENVO:00000338,5
NH4+Elevated14days,5
N group,5
ENVO:01001018,5
industraial waste,5
aquaculture facilitie,5
fertilzed filed biome[ENVO:01000194],5
neutral hot spring [ENVO:00002181],5
Neutral hot spring,5
nest of termite,5
crops,5
Crops field,5
CrTac:NCr-Foxn1nu mouse gut,5
household F,5
arbor,5
arboretum,5
Kefir grains,5
hypersaline water[ENVO:00002012],5
Cryosol,5
kefir,5
fertilized mown pasture,5
gut_compost,5
Pipeline scale deposits,5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 10 ug.ml-1 AIA (Ácido indol-3-acético)",5
mercury contaminated soil,5
ENVO:00000447 for marine biome,5
area of dwarf scrub [ENVO_01000861],5
area of sedge- and forb-dominated herbaceous vegetation [ENVO_01000887],5
argillite biome,5
ARMS,5
Jordan,5
Joint of pelvis,5
nearshore sediments,5
Johns Creek influent,5
arsenic rich environment,5
Navy installation site,5
estuarine water [ENVO:01000310],5
hot spring microbial mat,5
Hot spring|||groundwater,5
CSTR,5
industrial waste,5
hypersaline sediment,5
ENVO:00002245,5
Aseptically grown radish sprouts,5
Pinus taeda plantation,5
associated to algal surface,5
Planktonic Collection,5
citrus leaf,5
Hypersaline,5
ENVO:00000337,5
Downy growth of spore of Peronospora arborsencens,5
grassland biome [ENVO:01001206],5
groundwater|||groundwater biome,5
endobiome,5
ENVO:00002010 seawater,5
associated to the endosphere,5
Pinus strobus,5
associated to the rhizosphere,5
Natto (fermented soybeans),5
Atacama,5
Atlantic rainforest biome,5
Atlantic sea biome,5
ENVO00001998:ENVO:00002263,5
Fermented mare milk,5
hot lake,5
fermented liquid,5
ENVO:01000335,5
hydrothermal vent zone,5
autoclaved_soil,5
Enitsol,5
ENVO:01000331,5
Axenic culture,5
axillary lymph node,5
azoxymethane|Fusobacterium nucleatum,5
Cultivated in NMM supplemented with indole and amino acids,5
Carbon steel surface,5
carbon steel SP,5
ENVO:00000336,5
carbon steel S,5
carbon steel B,5
Israel,5
Phodopus sungorus intestines,5
enrichment_acetate,5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 1e+7 CFU.plant-1 of A. argentinense Az39",5
Mesophilic anaerobic digester,5
enrichment_citrate,5
nasal discharge,5
dorsal-upper-arm,5
ENVO:01001195,5
host plant,5
Phaseolus vulgaris root nodules collected across Michigan dry-bean sites,5
Phaseolus vulgaris root nodules,5
ENVO:00002222,5
BAC,5
fermentation time,5
host fly,5
enrichment with xylooligosaccharide,5
fecal material.5,5
bacteria from the soil,5
isolated from a single Apis nigrocincta colony,5
Bacterial culture,5
ENVO:01000309,5
isolated from a single Apis cerana cell,5
lower montane [ENVO:01000346],5
cultured reactor,5
Host-associated sample - Birds - Digestive system,5
ENVO:00000532,5
ENVO:01000303,5
Hydrothermal Seep [ENVO:01000265],5
ENVO:00000463,5
Culture enrichment,5
culture pon,5
Cultures,5
ENVO:00002206,5
ENVO:01000295,5
ENVO:cold temperature habitat,5
"grasees, rock, litter",5
CVC,5
caostal sea water,5
Infant gut microbiome exposed to Moxclav antibiotic,5
Fermemted food,5
Canopy [ENVO:01001242]|Forest floor [ENVO:01001582],5
bakery food,5
44 hours,5
cyanobacterial colony,5
Graphite material (anode) in opened circuit in subsurface constructed wetland fuel cell treating wastewater from HUSB.,5
bamboo grove,5
Canadian biome,5
irrigated land,5
Hospital Wastewater,5
cytology brush,5
Metagenome of disease conducive soil,5
Metagenome of disease suppresive soil,5
marine hydrothermal vent chimney [ENVO:01000129],5
Cyttaria harioti,5
hospitalwastewater,5
dairy cow feed,5
hospital|sink drain,5
Hospital sewers,5
Dakbor lake,5
dog urinary bladder,5
ENVO:00002196,5
metagenome sorted Synechococcus surface,5
Freshwater Reservoir,5
intraluminal fluid,5
camel farm/pasture,5
Dead wood,5
intestines pool,5
Camel farm,5
metal contaminated soil,5
[ENVO:01000246]|[ENVO:01001455],5
ENVO_01000245,5
female fish,5
ENVO:01001241,5
ENVO:01001242,5
ENVO:00000335,5
dog intestine,5
"Forest soil in Bochum, Germany",5
ENVO:00000334,5
Basalt,5
basin biome,5
intestine-D,5
ENVO:00000462,5
Infected with Bacillus cereus,5
ENVO_01001200,5
dog id FS14,5
"0,5 g of inoculated maize rizhosphere grown in a agronomic soil from Córdoba, Argentina, under controled conditions. Maize seed : Dekalb “DK-72-10 VT3PRO. Treatment: 1e+7 CFU.plant-1 of A. argentinense Az39 mutante in ipdC gen, involved in IAA production.",5
hydrolysis and fermentation of paper,5
intestine content,5
ENVO:00002177,5
marine hydrothermal vent ENVO:01000122,5
ENVO:00000333,5
ENVO:00000461,5
52 hours,5
ENVO:00000460,5
Munition exposed soil,5
30 L continuous fermentation of carbohydrates,5
ENVO:00002176,5
ENVO:00002175,5
Grapevine trunk,5
calcite hot spring,5
Calcite deposits,5
fecal material.13,5
bath tab,5
ENVO:00002174,5
Hydrocarbon seep biome,5
BaYi,5
ENVO:00000459,5
dna_kit,5
Mung bean_Sprouts_Company1,5
5 low,5
fecal material.6,5
18MBO46552,5
cage surface,5
Beartooth Plateau,5
Hydrocarbon_impacted,5
FlR,5
Mar epi water,4
Mar hypo water,4
green juice,4
C/N23|initial,4
C/N17|AD,4
forefield replicate 2,4
forefield replicate 3,4
Greywater,4
"ENVO:00002042, SURFACE WATER",4
clinical specimens,4
climate zone,4
climate change,4
(Click to Select US State),4
foreshore (eulittoral zone),4
Cleared cabin lot,4
Clean Swab,4
Forest10,4
clean room,4
Marine Biome [ENVO:00000447],4
Forest11,4
cleaning,4
Clay Soil,4
Marine biome [ENVO_00000447]|offshore platform [ENVO_00000099],4
clay lacustrine deposit,4
marine biom [ENVO:00000447],4
Clayey mud (very soft-soft).,4
Clayey mud (soft).,4
Clavascidium Lichen Biocrust 5,4
Clavascidium Lichen Biocrust 4,4
Forest 2,4
Clavascidium Lichen Biocrust 3,4
Clavascidium Lichen Biocrust 2,4
Clavascidium Lichen Biocrust 1,4
Forest7,4
Forest8,4
Forest9,4
marine coral reef back reef ENVO:01000145,4
Groundwater discharge in slope,4
Groundwater discharge near river,4
marine coral reef fore reef ENVO:01000147,4
forest around laboratory,4
forest biome [ENVO:01000174] | grassland [ENVO:00000106],4
marine fish,4
city ENVO:00001024,4
city ENVO:00001019,4
forest cover,4
ENVO:00000874,4
marine hydrothermal vent chimney [ENVO_01000129],4
Church,4
even-aged spruce forest,4
Env5590,4
Chlorinated_Effluent,4
Chlorinated_effluent,4
forest [ENVO:00000111]|river [ENVO:00000022]|peri-urban,4
Forest [ENVO:00002261],4
chipotle,4
ENVO:01001210,4
ENVO:01001211,4
ENVO:01001212,4
ENVO:01001213,4
China :Sichuan,4
