raw_text,portion_parsed,normalized_curie,normalized_label,count
Light Cyanobaterial Biocrust 1,Light Cyanobaterial Biocrust 1,,Light Cyanobaterial Biocrust 1,4
Light Cyanobaterial Biocrust 2,Light Cyanobaterial Biocrust 2,,Light Cyanobaterial Biocrust 2,4
Light Cyanobaterial Biocrust 3,Light Cyanobaterial Biocrust 3,,Light Cyanobaterial Biocrust 3,4
Light Cyanobaterial Biocrust 4,Light Cyanobaterial Biocrust 4,,Light Cyanobaterial Biocrust 4,4
Light Cyanobaterial Biocrust 5,Light Cyanobaterial Biocrust 5,,Light Cyanobaterial Biocrust 5,4
adult chicken,adult chicken,,adult chicken,4
Peaty bog soil,Peaty bog soil,,Peaty bog soil,4
Coastal vulcanic sand biome,Coastal vulcanic sand biome,,Coastal vulcanic sand biome,4
ENVO:0000539,ENVO:0000539,ENVO:0000539,,4
Activated Sludge Reactor,Activated Sludge Reactor,,Activated Sludge Reactor,4
activated sludge process,activated sludge process,,activated sludge process,4
glass_biofilm,glass_biofilm,,glass_biofilm,4
ENVO:0000540,ENVO:0000540,ENVO:0000540,,4
Ligurian Sea,Ligurian Sea,,Ligurian Sea,4
LigurianSea,LigurianSea,,LigurianSea,4
glass [ENVO_01000480],glass [ENVO_01000480],ENVO:01000480,glass,4
Pepper field,Pepper field,,Pepper field,4
ENVO:0000541,ENVO:0000541,ENVO:0000541,,4
ENVO:0000542,ENVO:0000542,ENVO:0000542,,4
flat,flat,,flat,4
ENVO:0000543,ENVO:0000543,ENVO:0000543,,4
ENVO:0000544,ENVO:0000544,ENVO:0000544,,4
ENVO_01000883,ENVO_01000883,ENVO:01000883,,4
flat glass,flat glass,,flat glass,4
ENVO:0000545,ENVO:0000545,ENVO:0000545,,4
ENVO:0000546,ENVO:0000546,ENVO:0000546,,4
ENVO:0000547,ENVO:0000547,ENVO:0000547,,4
Pepper leaf biome,Pepper leaf biome,,Pepper leaf biome,4
limestone wall,limestone wall,,limestone wall,4
ENVO:0000548,ENVO:0000548,ENVO:0000548,,4
Estuarine habitat,Estuarine habitat,,Estuarine habitat,4
estuarine intermixing zone,estuarine intermixing zone,,estuarine intermixing zone,4
GLBRC intensive sites,GLBRC intensive sites,,GLBRC intensive sites,4
orchard soil [ENVO:00005772],orchard soil [ENVO:00005772],ENVO:00005772,orchard soil,4
ENVO:0000549,ENVO:0000549,ENVO:0000549,,4
ENVO:0000550,ENVO:0000550,ENVO:0000550,,4
line I,line I,,line I,4
line II,line II,,line II,4
activated sludge [ENVO:00002046 ],activated sludge [ENVO:00002046 ],ENVO:00002046,activated sludge],4
gleysol,gleysol,,gleysol,4
ENVO:0000551,ENVO:0000551,ENVO:0000551,,4
linitis plastica,linitis plastica,,linitis plastica,4
lintertidal zone [ENVO:00000316],lintertidal zone [ENVO:00000316],ENVO:00000316,lintertidal zone,4
ENVO:0000552,ENVO:0000552,ENVO:0000552,,4
Acropora tenuis tissue,Acropora tenuis tissue,,Acropora tenuis tissue,4
Organic farming field,Organic farming field,,Organic farming field,4
ENVO:0000553,ENVO:0000553,ENVO:0000553,,4
ENVO:0000554,ENVO:0000554,ENVO:0000554,,4
101,101,,101,4
acidic water [ENVO_01000358],acidic water [ENVO_01000358],ENVO:01000358,acidic water,4
Liquid basal medium,Liquid basal medium,,Liquid basal medium,4
ENVO:0000555,ENVO:0000555,ENVO:0000555,,4
Liquid Carbon Free Basal Medium,Liquid Carbon Free Basal Medium,,Liquid Carbon Free Basal Medium,4
ENVO:0000556,ENVO:0000556,ENVO:0000556,,4
Pepper plant,Pepper plant,,Pepper plant,4
Glyphosate100,Glyphosate100,,Glyphosate100,4
Glyphosate250,Glyphosate250,,Glyphosate250,4
ENVO:0000557,ENVO:0000557,ENVO:0000557,,4
ENVO:0000558,ENVO:0000558,ENVO:0000558,,4
ENVO:0000559,ENVO:0000559,ENVO:0000559,,4
ENVO:0000560,ENVO:0000560,ENVO:0000560,,4
ENVO:0000561,ENVO:0000561,ENVO:0000561,,4
Gnotobiotic mouse gut C57Bl/6,Gnotobiotic mouse gut C57Bl/6,,Gnotobiotic mouse gut C57Bl/6,4
accretion ice,accretion ice,,accretion ice,4
acacia_with_grazed_grass,acacia_with_grazed_grass,,acacia_with_grazed_grass,4
acacia_with_dense_grass,acacia_with_dense_grass,,acacia_with_dense_grass,4
Acacia plantations,Acacia plantations,,Acacia plantations,4
Farmland soil columnar sample,Farmland soil columnar sample,,Farmland soil columnar sample,4
human stool sample,human stool sample,,human stool sample,4
above-soil plant parts,above-soil plant parts,,above-soil plant parts,4
Pea Field,Pea Field,,Pea Field,4
Abomasal contents of Tibetan Sheep,Abomasal contents of Tibetan Sheep,,Abomasal contents of Tibetan Sheep,4
abandoned sand quarry,abandoned sand quarry,,abandoned sand quarry,4
Human tissue,Human tissue,,Human tissue,4
gold mine,gold mine,,gold mine,4
flooded rice paddy,flooded rice paddy,,flooded rice paddy,4
human tooth,human tooth,,human tooth,4
Liquorice root,Liquorice root,,Liquorice root,4
Gorge,Gorge,,Gorge,4
Government Hospital,Government Hospital,,Government Hospital,4
abandoned clay quarry,abandoned clay quarry,,abandoned clay quarry,4
Oryza sativa cv Daean Bulk soil Bacterial community,Oryza sativa cv Daean Bulk soil Bacterial community,,Oryza sativa cv Daean Bulk soil Bacterial community,4
Oryza sativa cv Daean Bulk soil Fungal community,Oryza sativa cv Daean Bulk soil Fungal community,,Oryza sativa cv Daean Bulk soil Fungal community,4
Human tracheal aspirate,Human tracheal aspirate,,Human tracheal aspirate,4
Oryza sativa cv Gohyangchal Bulk soil Bacterial community,Oryza sativa cv Gohyangchal Bulk soil Bacterial community,,Oryza sativa cv Gohyangchal Bulk soil Bacterial community,4
Oryza sativa cv Gohyangchal Bulk soil Fungal community,Oryza sativa cv Gohyangchal Bulk soil Fungal community,,Oryza sativa cv Gohyangchal Bulk soil Fungal community,4
floor_aging,floor_aging,,floor_aging,4
Plain area,Plain area,,Plain area,4
ENVO:0000562,ENVO:0000562,ENVO:0000562,,4
Oryza sativa cv Nakdong root bacterial community,Oryza sativa cv Nakdong root bacterial community,,Oryza sativa cv Nakdong root bacterial community,4
littoral lake,littoral lake,,littoral lake,4
ENVO:0000563,ENVO:0000563,ENVO:0000563,,4
OsAMX system,OsAMX system,,OsAMX system,4
ENVO:0000564,ENVO:0000564,ENVO:0000564,,4
ENVO:0000565,ENVO:0000565,ENVO:0000565,,4
floor_cheesemaking,floor_cheesemaking,,floor_cheesemaking,4
ENVO:0000566,ENVO:0000566,ENVO:0000566,,4
other: mangrove,other: mangrove,,other: mangrove,4
ENVO:0000567,ENVO:0000567,ENVO:0000567,,4
floor_milking,floor_milking,,floor_milking,4
granite [ENVO_01000356],granite [ENVO_01000356],ENVO:01000356,granite,4
ENVO:0000568,ENVO:0000568,ENVO:0000568,,4
ENVO:0000569,ENVO:0000569,ENVO:0000569,,4
ENVO:0000570,ENVO:0000570,ENVO:0000570,,4
Granitic environment,Granitic environment,,Granitic environment,4
granular activated carbon,granular activated carbon,,granular activated carbon,4
ENVO:0000571,ENVO:0000571,ENVO:0000571,,4
outer part of unelongated stem,outer part of unelongated stem,,outer part of unelongated stem,4
ENVO:0000572,ENVO:0000572,ENVO:0000572,,4
Outflow,Outflow,,Outflow,4
A1,A1,,A1,4
99,99,,99,4
100,100,,100,4
Oxidation ditch,Oxidation ditch,,Oxidation ditch,4
90m depth,90m depth,,90m depth,4
LKK13,LKK13,,LKK13,4
8-L laboratory-scale continuously stirred tank reactors,8-L laboratory-scale continuously stirred tank reactors,,8-L laboratory-scale continuously stirred tank reactors,4
8807,8807,,8807,4
8770,8770,,8770,4
"oysters, cultured off Spanish Mediterranean coast","oysters, cultured off Spanish Mediterranean coast",,"oysters, cultured off Spanish Mediterranean coast",4
LKK15,LKK15,,LKK15,4
8636,8636,,8636,4
LKK17,LKK17,,LKK17,4
P3,P3,,P3,4
8449,8449,,8449,4
8409,8409,,8409,4
8373,8373,,8373,4
8359,8359,,8359,4
8024,8024,,8024,4
8.0,8.0,,8.0,4
7 Other,7 Other,,7 Other,4
7-Normal,7-Normal,,7-Normal,4
floral nectar,floral nectar,,floral nectar,4
ENVO:0000573,ENVO:0000573,ENVO:0000573,,4
Loess,Loess,,Loess,4
paddle,paddle,,paddle,4
Paddock,Paddock,,Paddock,4
21.0,21.0,,21.0,4
7818,7818,,7818,4
7763,7763,,7763,4
7738,7738,,7738,4
7629,7629,,7629,4
granular sludge obtained from a thermophilic up- flow anaerobic sludge blanket reactor,granular sludge obtained from a thermophilic up- flow anaerobic sludge blanket reactor,,granular sludge obtained from a thermophilic up- flow anaerobic sludge blanket reactor,4
7507,7507,,7507,4
7481,7481,,7481,4
Humid environment,Humid environment,,Humid environment,4
Lona,Lona,,Lona,4
7316,7316,,7316,4
7.2.1 Open ocean water-conservation,7.2.1 Open ocean water-conservation,,7.2.1 Open ocean water-conservation,4
Grape biome,Grape biome,,Grape biome,4
Long-term experimental aerobic rice cultivation site,Long-term experimental aerobic rice cultivation site,,Long-term experimental aerobic rice cultivation site,4
6.7,6.7,,6.7,4
flower [PO:0009046],flower [PO:0009046],,flower PO:0009046,4
6657,6657,,6657,4
6640,6640,,6640,4
Long-term experimental wetland rice cultivation site,Long-term experimental wetland rice cultivation site,,Long-term experimental wetland rice cultivation site,4
6.48,6.48,,6.48,4
6463,6463,,6463,4
grapemarc,grapemarc,,grapemarc,4
6430,6430,,6430,4
6428,6428,,6428,4
6.42,6.42,,6.42,4
6406,6406,,6406,4
6267,6267,,6267,4
6172,6172,,6172,4
6133,6133,,6133,4
pant leaves,pant leaves,,pant leaves,4
Paper,Paper,,Paper,4
ENVO_00002004,ENVO_00002004,ENVO:00002004,,4
GRAPEVINE HABITAT,GRAPEVINE HABITAT,,GRAPEVINE HABITAT,4
hydrocarbon chronically contaminated soil,hydrocarbon chronically contaminated soil,,hydrocarbon chronically contaminated soil,4
60C batch static cultures,60C batch static cultures,,60C batch static cultures,4
Fattening steers manure,Fattening steers manure,,Fattening steers manure,4
6064,6064,,6064,4
6.0,6.0,,6.0,4
parasitism,parasitism,,parasitism,4
Fluid (ENVO_02000140),Fluid (ENVO_02000140),ENVO:02000140,Fluid,4
5-Normal,5-Normal,,5-Normal,4
Park [ENVO:00000562],Park [ENVO:00000562],ENVO:00000562,Park,4
hydroelectric reservoir,hydroelectric reservoir,,hydroelectric reservoir,4
parking_lot,parking_lot,,parking_lot,4
fluid of pitcher plant,fluid of pitcher plant,,fluid of pitcher plant,4
5775,5775,,5775,4
5772,5772,,5772,4
Parmigiano Reggiano cheese,Parmigiano Reggiano cheese,,Parmigiano Reggiano cheese,4
Plains,Plains,,Plains,4
Part 1 of Column 1: S-I-S,Part 1 of Column 1: S-I-S,,Part 1 of Column 1: S-I-S,4
Part 1 of Column 2: S-I-S,Part 1 of Column 2: S-I-S,,Part 1 of Column 2: S-I-S,4
Part 1 of Column 3: C-I-C,Part 1 of Column 3: C-I-C,,Part 1 of Column 3: C-I-C,4
Part 1 of Column 4: C-I-C,Part 1 of Column 4: C-I-C,,Part 1 of Column 4: C-I-C,4
Part 2 of Column 1: S-I-S,Part 2 of Column 1: S-I-S,,Part 2 of Column 1: S-I-S,4
Part 2 of Column 2: S-I-S,Part 2 of Column 2: S-I-S,,Part 2 of Column 2: S-I-S,4
Part 2 of Column 4: C-I-C,Part 2 of Column 4: C-I-C,,Part 2 of Column 4: C-I-C,4
Part 3 of Column 1: S-I-S,Part 3 of Column 1: S-I-S,,Part 3 of Column 1: S-I-S,4
Part 3 of Column 2: S-I-S,Part 3 of Column 2: S-I-S,,Part 3 of Column 2: S-I-S,4
Part 3 of Column 3: C-I-C,Part 3 of Column 3: C-I-C,,Part 3 of Column 3: C-I-C,4
Part 3 of Column 4: C-I-C,Part 3 of Column 4: C-I-C,,Part 3 of Column 4: C-I-C,4
Part 4 of Column 1: S-I-S,Part 4 of Column 1: S-I-S,,Part 4 of Column 1: S-I-S,4
Part 4 of Column 2: S-I-S,Part 4 of Column 2: S-I-S,,Part 4 of Column 2: S-I-S,4
Part 4 of Column 3: C-I-C,Part 4 of Column 3: C-I-C,,Part 4 of Column 3: C-I-C,4
Part 4 of Column 4: C-I-C,Part 4 of Column 4: C-I-C,,Part 4 of Column 4: C-I-C,4
Part 5 of Column 1: S-I-S,Part 5 of Column 1: S-I-S,,Part 5 of Column 1: S-I-S,4
Part 5 of Column 2: S-I-S,Part 5 of Column 2: S-I-S,,Part 5 of Column 2: S-I-S,4
Part 5 of Column 3: C-I-C,Part 5 of Column 3: C-I-C,,Part 5 of Column 3: C-I-C,4
Part 5 of Column 4: C-I-C,Part 5 of Column 4: C-I-C,,Part 5 of Column 4: C-I-C,4
graphite anode,graphite anode,,graphite anode,4
5711,5711,,5711,4
FDI-27,FDI-27,,FDI-27,4
Fluvial,Fluvial,,Fluvial,4
5534,5534,,5534,4
5173,5173,,5173,4
504 m,504 m,,504 m,4
Graphite material (anode) in closed circuit in subsurface constructed wetland treating wastewater from HUSB.,Graphite material (anode) in closed circuit in subsurface constructed wetland treating wastewater from HUSB.,,Graphite material anode in closed circuit in subsurface constructed wetland treating wastewater from HUSB.,4
4988,4988,,4988,4
4921,4921,,4921,4
2017-05,2017-05,,2017-05,4
Pasturesheep_sheep_unfertilised,Pasturesheep_sheep_unfertilised,,Pasturesheep_sheep_unfertilised,4
4611,4611,,4611,4
pasture soil|Cambisol,pasture soil,,pasture soil,4
pasture soil|Cambisol,Cambisol,,Cambisol,4
Env061,Env061,,Env061,4
"43.796,128.102","43.796,128.102",,"43.796,128.102",4
Env060,Env060,,Env060,4
Env059,Env059,,Env059,4
Env058,Env058,,Env058,4
Env057,Env057,,Env057,4
Env056,Env056,,Env056,4
FDI-45,FDI-45,,FDI-45,4
Lotofaga,Lotofaga,,Lotofaga,4
Lotus Field Mud,Lotus Field Mud,,Lotus Field Mud,4
Env055,Env055,,Env055,4
Env054,Env054,,Env054,4
Env053,Env053,,Env053,4
Env052,Env052,,Env052,4
Env051,Env051,,Env051,4
low altitudinal condition [ENVO:01000343],low altitudinal condition [ENVO:01000343],ENVO:01000343,low altitudinal condition,4
Env050,Env050,,Env050,4
Env049,Env049,,Env049,4
Env048,Env048,,Env048,4
Env047,Env047,,Env047,4
Env046,Env046,,Env046,4
Env045,Env045,,Env045,4
Env044,Env044,,Env044,4
Low -DO Chemostat,Low -DO Chemostat,,Low -DO Chemostat,4
Env043,Env043,,Env043,4
Env042,Env042,,Env042,4
Env041,Env041,,Env041,4
Env040,Env040,,Env040,4
Env039,Env039,,Env039,4
Env038,Env038,,Env038,4
Env037,Env037,,Env037,4
Env036,Env036,,Env036,4
Env035,Env035,,Env035,4
Env034,Env034,,Env034,4
2500 m above sea level. Temperature variation between day and night. Highlands of Central Peruvian Andes,2500 m above sea level. Temperature variation between day and night. Highlands of Central Peruvian Andes,,2500 m above sea level. Temperature variation between day and night. Highlands of Central Peruvian Andes,4
Env033,Env033,,Env033,4
Env032,Env032,,Env032,4
Env031,Env031,,Env031,4
Env030,Env030,,Env030,4
Env029,Env029,,Env029,4
Env028,Env028,,Env028,4
Env027,Env027,,Env027,4
Env026,Env026,,Env026,4
Env025,Env025,,Env025,4
Env024,Env024,,Env024,4
ENVO:01000990,ENVO:01000990,ENVO:01000990,,4
ENV:00002042,ENV:00002042,,ENV:00002042,4
ENV:00002010,ENV:00002010,,ENV:00002010,4
ENV:00000447,ENV:00000447,,ENV:00000447,4
Env_00000106 (grassland),Env_00000106 (grassland),,Env_00000106 grassland,4
entrance,entrance,,entrance,4
ENVO:00000465,ENVO:00000465,ENVO:00000465,,4
ENVO:00000466,ENVO:00000466,ENVO:00000466,,4
FO-AnMBR,FO-AnMBR,,FO-AnMBR,4
lower third of vagina,lower third of vagina,,lower third of vagina,4
enrichment culture from Soljanka river,enrichment culture from Soljanka river,,enrichment culture from Soljanka river,4
enrichment culture from Lantsug river,enrichment culture from Lantsug river,,enrichment culture from Lantsug river,4
enrichment culture from Lake Elton,enrichment culture from Lake Elton,,enrichment culture from Lake Elton,4
Enrichment chemostat sample,Enrichment chemostat sample,,Enrichment chemostat sample,4
hydrothermal vent water,hydrothermal vent water,,hydrothermal vent water,4
ENVO:00002010 for seawater,ENVO:00002010 for seawater,ENVO:00002010,for seawater,4
Lowland forest,Lowland forest,,Lowland forest,4
hydroxide,hydroxide,,hydroxide,4
percolation water cave,percolation water cave,,percolation water cave,4
Feb hypo water,Feb hypo water,,Feb hypo water,4
ENVO_01001001,ENVO_01001001,ENVO:01001001,,4
ENVO:00000468,ENVO:00000468,ENVO:00000468,,4
Low-light_24hr,Low-light_24hr,,Low-light_24hr,4
Low-light_2hr,Low-light_2hr,,Low-light_2hr,4
Low-light_6hr,Low-light_6hr,,Low-light_6hr,4
Low-light_72hr,Low-light_72hr,,Low-light_72hr,4
food additive Bio-Kult infantis,food additive Bio-Kult infantis,,food additive Bio-Kult infantis,4
grassland bulk soil,grassland bulk soil,,grassland bulk soil,4
Low-pH_24hr,Low-pH_24hr,,Low-pH_24hr,4
Low-pH_2hr,Low-pH_2hr,,Low-pH_2hr,4
Low-pH_6hr,Low-pH_6hr,,Low-pH_6hr,4
Low-pH_72hr,Low-pH_72hr,,Low-pH_72hr,4
ENVO:00000470,ENVO:00000470,ENVO:00000470,,4
embryonic structure [UBERON:0002050],embryonic structure [UBERON:0002050],,embryonic structure UBERON:0002050,4
ENVO:00000471,ENVO:00000471,ENVO:00000471,,4
embryonic stem cells derived from inner cell mass,embryonic stem cells derived from inner cell mass,,embryonic stem cells derived from inner cell mass,4
Embryo,Embryo,,Embryo,4
Hypersaline lake [ENVO:01001020],Hypersaline lake [ENVO:01001020],ENVO:01001020,Hypersaline lake,4
low salinity saltern,low salinity saltern,,low salinity saltern,4
"Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 31.5° C, CO2: 550 ppm","Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 31.5° C, CO2: 550 ppm",,"Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 31.5° C, CO2: 550 ppm",4
"Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 31.5° C, CO2: 413 ppm","Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 31.5° C, CO2: 413 ppm",,"Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 31.5° C, CO2: 413 ppm",4
"Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 28° C, CO2: 550 ppm","Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 28° C, CO2: 550 ppm",,"Elevated environment: Annual rainfall: 0 mm; Mean Temperature: 28° C, CO2: 550 ppm",4
ENVO:00000472,ENVO:00000472,ENVO:00000472,,4
Low-temperature_24hr,Low-temperature_24hr,,Low-temperature_24hr,4
Low-temperature_2hr,Low-temperature_2hr,,Low-temperature_2hr,4
Low-temperature_6hr,Low-temperature_6hr,,Low-temperature_6hr,4
Low-temperature_72hr,Low-temperature_72hr,,Low-temperature_72hr,4
low temperature diffuse,low temperature diffuse,,low temperature diffuse,4
Grassland (ENVO:00000106),Grassland (ENVO:00000106),ENVO:00000106,Grassland,4
Grassland [ENVO:01000193],Grassland [ENVO:01000193],ENVO:01000193,Grassland,4
hypervirulent Klebsiella pneumoniae,hypervirulent Klebsiella pneumoniae,,hypervirulent Klebsiella pneumoniae,4
ENVO:00000473,ENVO:00000473,ENVO:00000473,,4
"Food from Sudan, David PhD project","Food from Sudan, David PhD project",,"Food from Sudan, David PhD project",4
ENVO:00000474,ENVO:00000474,ENVO:00000474,,4
grassland; montane grassland,grassland; montane grassland,,grassland; montane grassland,4
ENVO:00000478,ENVO:00000478,ENVO:00000478,,4
ENVO:00000479,ENVO:00000479,ENVO:00000479,,4
ENVO:00002019 | ENVO:01001581,ENVO:00002019,ENVO:00002019,,4
ENVO:00002019 | ENVO:01001581,ENVO:01001581,ENVO:01001581,,4
ENVO:00000481,ENVO:00000481,ENVO:00000481,,4
lunch meat,lunch meat,,lunch meat,4
grassland surface soil1,grassland surface soil1,,grassland surface soil1,4
grassland surface soil10,grassland surface soil10,,grassland surface soil10,4
IAI microbial fertilizer,IAI microbial fertilizer,,IAI microbial fertilizer,4
Effluent wastewater,Effluent wastewater,,Effluent wastewater,4
grassland surface soil11,grassland surface soil11,,grassland surface soil11,4
Effluent collected from potted Pelargonium,Effluent collected from potted Pelargonium,,Effluent collected from potted Pelargonium,4
Ice edge,Ice edge,,Ice edge,4
eddy,eddy,,eddy,4
ectone,ectone,,ectone,4
ectomycorrhizospheric bulk soil,ectomycorrhizospheric bulk soil,,ectomycorrhizospheric bulk soil,4
eco-regions field,eco-regions field,,eco-regions field,4
Ecoli_control,Ecoli_control,,Ecoli_control,4
IcrTac:ICR mouse gut,IcrTac:ICR mouse gut,,IcrTac:ICR mouse gut,4
grassland surface soil12,grassland surface soil12,,grassland surface soil12,4
grassland surface soil13,grassland surface soil13,,grassland surface soil13,4
grassland surface soil14,grassland surface soil14,,grassland surface soil14,4
grassland surface soil15,grassland surface soil15,,grassland surface soil15,4
grassland surface soil16,grassland surface soil16,,grassland surface soil16,4
grassland surface soil17,grassland surface soil17,,grassland surface soil17,4
Environmental contamination,Environmental contamination,,Environmental contamination,4
grassland surface soil18,grassland surface soil18,,grassland surface soil18,4
grassland surface soil19,grassland surface soil19,,grassland surface soil19,4
environmental material [ENVO:00010484],environmental material [ENVO:00010484],ENVO:00010484,environmental material,4
environmental material [ENVO:00010485],environmental material [ENVO:00010485],ENVO:00010485,environmental material,4
environmental material [ENVO:00010486],environmental material [ENVO:00010486],ENVO:00010486,environmental material,4
environmental material [ENVO:00010487],environmental material [ENVO:00010487],ENVO:00010487,environmental material,4
environmental material [ENVO:00010488],environmental material [ENVO:00010488],ENVO:00010488,environmental material,4
Environmental microbiome,Environmental microbiome,,Environmental microbiome,4
grassland surface soil2,grassland surface soil2,,grassland surface soil2,4
grassland surface soil20,grassland surface soil20,,grassland surface soil20,4
Lupinus polyphyllus,Lupinus polyphyllus,,Lupinus polyphyllus,4
grassland surface soil21,grassland surface soil21,,grassland surface soil21,4
FOODON_00001141,FOODON_00001141,,FOODON_00001141,4
FOODON_00001175,FOODON_00001175,,FOODON_00001175,4
ENVO:01001045,ENVO:01001045,ENVO:01001045,,4
grassland surface soil22,grassland surface soil22,,grassland surface soil22,4
ethanol fermentation,ethanol fermentation,,ethanol fermentation,4
ethenic fermented food,ethenic fermented food,,ethenic fermented food,4
environment associated with a plant part or small plant[ENVO_01001057],environment associated with a plant part or small plant[ENVO_01001057],ENVO:01001057,environment associated with a plant part or small plant,4
Lycium ruthenicum root associated fungi,Lycium ruthenicum root associated fungi,,Lycium ruthenicum root associated fungi,4
Environment Canada Station EC1461,Environment Canada Station EC1461,,Environment Canada Station EC1461,4
Environment Canada Station EC215,Environment Canada Station EC215,,Environment Canada Station EC215,4
Environment Canada Station EC885,Environment Canada Station EC885,,Environment Canada Station EC885,4
ENVO0000203,ENVO0000203,ENVO:0000203,,4
grassland surface soil23,grassland surface soil23,,grassland surface soil23,4
environment pig farm 12 biome,environment pig farm 12 biome,,environment pig farm 12 biome,4
PDMS_CNTs,PDMS_CNTs,,PDMS_CNTs,4
grassland surface soil24,grassland surface soil24,,grassland surface soil24,4
grassland surface soil25,grassland surface soil25,,grassland surface soil25,4
grassland surface soil26,grassland surface soil26,,grassland surface soil26,4
grassland surface soil27,grassland surface soil27,,grassland surface soil27,4
grassland surface soil28,grassland surface soil28,,grassland surface soil28,4
grassland surface soil29,grassland surface soil29,,grassland surface soil29,4
grassland surface soil3,grassland surface soil3,,grassland surface soil3,4
grassland surface soil30,grassland surface soil30,,grassland surface soil30,4
grassland surface soil31,grassland surface soil31,,grassland surface soil31,4
grassland surface soil32,grassland surface soil32,,grassland surface soil32,4
grassland surface soil33,grassland surface soil33,,grassland surface soil33,4
grassland surface soil34,grassland surface soil34,,grassland surface soil34,4
grassland surface soil35,grassland surface soil35,,grassland surface soil35,4
grassland surface soil36,grassland surface soil36,,grassland surface soil36,4
grassland surface soil37,grassland surface soil37,,grassland surface soil37,4
grassland surface soil38,grassland surface soil38,,grassland surface soil38,4
grassland surface soil39,grassland surface soil39,,grassland surface soil39,4
grassland surface soil4,grassland surface soil4,,grassland surface soil4,4
m-2063,m-2063,,m-2063,4
m-2091,m-2091,,m-2091,4
grassland surface soil40,grassland surface soil40,,grassland surface soil40,4
environment pig farm 4 biome,environment pig farm 4 biome,,environment pig farm 4 biome,4
grassland surface soil41,grassland surface soil41,,grassland surface soil41,4
grassland surface soil42,grassland surface soil42,,grassland surface soil42,4
grassland surface soil43,grassland surface soil43,,grassland surface soil43,4
grassland surface soil44,grassland surface soil44,,grassland surface soil44,4
m-2235,m-2235,,m-2235,4
m-2236,m-2236,,m-2236,4
grassland surface soil45,grassland surface soil45,,grassland surface soil45,4
grassland surface soil46,grassland surface soil46,,grassland surface soil46,4
grassland surface soil47,grassland surface soil47,,grassland surface soil47,4
grassland surface soil48,grassland surface soil48,,grassland surface soil48,4
grassland surface soil49,grassland surface soil49,,grassland surface soil49,4
grassland surface soil5,grassland surface soil5,,grassland surface soil5,4
grassland surface soil50,grassland surface soil50,,grassland surface soil50,4
grassland surface soil51,grassland surface soil51,,grassland surface soil51,4
grassland surface soil53,grassland surface soil53,,grassland surface soil53,4
grassland surface soil54,grassland surface soil54,,grassland surface soil54,4
grassland surface soil55,grassland surface soil55,,grassland surface soil55,4
grassland surface soil56,grassland surface soil56,,grassland surface soil56,4
grassland surface soil57,grassland surface soil57,,grassland surface soil57,4
grassland surface soil58,grassland surface soil58,,grassland surface soil58,4
grassland surface soil59,grassland surface soil59,,grassland surface soil59,4
grassland surface soil6,grassland surface soil6,,grassland surface soil6,4
grassland surface soil60,grassland surface soil60,,grassland surface soil60,4
grassland surface soil61,grassland surface soil61,,grassland surface soil61,4
grassland surface soil62,grassland surface soil62,,grassland surface soil62,4
grassland surface soil63,grassland surface soil63,,grassland surface soil63,4
grassland surface soil64,grassland surface soil64,,grassland surface soil64,4
grassland surface soil65,grassland surface soil65,,grassland surface soil65,4
grassland surface soil66,grassland surface soil66,,grassland surface soil66,4
grassland surface soil67,grassland surface soil67,,grassland surface soil67,4
grassland surface soil68,grassland surface soil68,,grassland surface soil68,4
grassland surface soil69,grassland surface soil69,,grassland surface soil69,4
grassland surface soil7,grassland surface soil7,,grassland surface soil7,4
grassland surface soil70,grassland surface soil70,,grassland surface soil70,4
grassland surface soil71,grassland surface soil71,,grassland surface soil71,4
grassland surface soil72,grassland surface soil72,,grassland surface soil72,4
grassland surface soil73,grassland surface soil73,,grassland surface soil73,4
grassland surface soil74,grassland surface soil74,,grassland surface soil74,4
grassland surface soil75,grassland surface soil75,,grassland surface soil75,4
grassland surface soil76,grassland surface soil76,,grassland surface soil76,4
grassland surface soil77,grassland surface soil77,,grassland surface soil77,4
grassland surface soil78,grassland surface soil78,,grassland surface soil78,4
grassland surface soil79,grassland surface soil79,,grassland surface soil79,4
grassland surface soil8,grassland surface soil8,,grassland surface soil8,4
grassland surface soil80,grassland surface soil80,,grassland surface soil80,4
ENVO:00000035,ENVO:00000035,ENVO:00000035,,4
MABR treated wastewater = replicate 2,MABR treated wastewater = replicate 2,,MABR treated wastewater = replicate 2,4
MABR treated wastewater = replicate 4,MABR treated wastewater = replicate 4,,MABR treated wastewater = replicate 4,4
grassland surface soil9,grassland surface soil9,,grassland surface soil9,4
[ENVO_00000064],[ENVO_00000064],ENVO:00000064,,4
[ENVO_00000086],[ENVO_00000086],ENVO:00000086,,4
ENVO:00010504;ENVO:01000326,ENVO:00010504;ENVO:01000326,ENVO:00010504,;ENVO:01000326,4
